Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,ILS
5/4/2015,1.1152,134.07,1.9558,?,27.364,7.4646,?,0.73788,303.42,?,?,?,4.048,?,4.4275,9.334,?,?,1.0431,?,8.463,7.5826,57.7651,?,3.0278,1.4225,3.4312,1.3512,6.9245,8.646,14521.99,70.9961,1206.68,17.3313,4.0152,1.4727,49.803,1.4861,37.158,13.439,4.3367
5/5/2015,1.1117,133.92,1.9558,?,27.362,7.4647,?,0.735,301.7,?,?,?,4.0182,?,4.4308,9.3284,?,?,1.0376,?,8.4475,7.5878,57.16,?,3.0169,1.4119,3.4318,1.344,6.895,8.6169,14526.52,70.5142,1204.72,17.1652,4.0166,1.4822,49.623,1.4862,37.131,13.3938,4.3172
5/6/2015,1.123,134.59,1.9558,?,27.415,7.4648,?,0.7376,304.55,?,?,?,4.0483,?,4.4432,9.3066,?,?,1.0374,?,8.413,7.581,56.0901,?,3.0405,1.403,3.4394,1.3487,6.963,8.7053,14662.18,71.3554,1215.84,17.2044,4.0089,1.499,50.061,1.4899,37.373,13.5142,4.3465
5/7/2015,1.1305,134.72,1.9558,?,27.405,7.4637,?,0.7425,304.56,?,?,?,4.0461,?,4.4353,9.2951,?,?,1.0343,?,8.3275,7.574,57.055,?,3.0332,1.4186,3.4218,1.3645,7.0129,8.7642,14853.95,72.5279,1234.03,17.3362,4.0671,1.5108,50.551,1.5049,37.967,13.5617,4.3658
5/8/2015,1.1221,134.9,1.9558,?,27.411,7.4639,?,0.728,303.91,?,?,?,4.0679,?,4.4508,9.2945,?,?,1.0385,?,8.3815,7.5545,56.905,?,3.0324,1.4181,3.406,1.3581,6.9639,8.7002,14727.17,71.8031,1227.08,17.1765,4.0362,1.5085,50.141,1.4923,37.597,13.5267,4.3375
5/11/2015,1.1142,133.64,1.9558,?,27.4,7.4628,?,0.7196,304.4,?,?,?,4.0668,?,4.4509,9.269,?,?,1.0403,?,8.4245,7.562,57.3713,?,3.0042,1.4117,3.3277,1.3497,6.9194,8.6381,14647.3,71.135,1219.64,16.9074,4.0102,1.5115,49.83,1.4871,37.521,13.3584,4.3118
5/12/2015,1.1239,134.85,1.9558,?,27.394,7.463,?,0.7164,306.57,?,?,?,4.1028,?,4.4655,9.3147,?,?,1.0396,?,8.3945,7.58,56.93,?,3.0245,1.407,3.4514,1.3532,6.9822,8.7133,14844.94,72.2546,1231.25,17.3215,4.0609,1.5239,50.366,1.5013,37.939,13.6327,4.3442
5/13/2015,1.1221,134.31,1.9558,?,27.45,7.463,?,0.7174,306.95,?,?,?,4.0872,?,4.4602,9.3267,?,?,1.041,?,8.357,7.5591,55.608,?,2.9744,1.3945,3.3684,1.3436,6.9622,8.6987,14723.46,71.8256,1229.03,17.1482,4.036,1.5061,50.12,1.4916,37.661,13.445,4.3235
5/14/2015,1.1419,136.12,1.9558,?,27.458,7.4646,?,0.7231,307.52,?,?,?,4.0827,?,4.458,9.3907,?,?,1.0386,?,8.4328,7.5495,57.061,?,2.9764,1.4087,3.4572,1.3645,7.0812,8.851,14891.45,72.7162,1245.36,17.3826,4.0762,1.5199,50.839,1.5053,38.241,13.5127,4.3618
5/15/2015,1.1328,135.78,1.9558,?,27.401,7.4652,?,0.7211,306.67,?,?,?,4.0432,?,4.4415,9.4273,?,?,1.0463,?,8.3745,7.5468,56.7475,?,2.9405,1.4159,3.4119,1.3636,7.0278,8.7803,14878.12,72.1159,1234.48,17.2921,4.0449,1.5237,50.365,1.5023,38.07,13.4438,4.3386
5/18/2015,1.1389,136.33,1.9558,?,27.401,7.464,?,0.727,307.55,?,?,?,4.0615,?,4.4465,9.3836,?,?,1.0482,?,8.3815,7.5325,56.0016,?,2.9385,1.4228,3.4161,1.3733,7.0661,8.8283,14967.91,72.5115,1236.94,17.1188,4.065,1.5356,50.596,1.5056,37.977,13.5051,4.3569
5/19/2015,1.118,134.36,1.9558,?,27.357,7.459,?,0.72185,305.07,?,?,?,4.0486,?,4.448,9.3133,?,?,1.042,?,8.3545,7.533,55.2035,?,2.89,1.4027,3.3653,1.3618,6.9384,8.6668,14690.46,71.2153,1219.29,16.9139,4.0207,1.5103,49.862,1.4885,37.375,13.254,4.3132
5/20/2015,1.1118,134.43,1.9558,?,27.33,7.4598,?,0.7157,306.5,?,?,?,4.0653,?,4.4458,9.2927,?,?,1.0429,?,8.3975,7.5338,55.4715,?,2.8845,1.407,3.3759,1.3578,6.8974,8.6193,14609.91,70.9265,1218.25,16.8716,4.018,1.5143,49.579,1.4851,37.334,13.2281,4.305
5/21/2015,1.1133,134.79,1.9558,?,27.351,7.4577,?,0.7099,306.97,?,?,?,4.0959,?,4.449,9.2613,?,?,1.0394,?,8.433,7.5398,55.2685,?,2.8611,1.4112,3.353,1.36,6.898,8.6322,14620.12,70.8201,1218.13,16.8999,4.0123,1.5239,49.433,1.4875,37.203,13.1113,4.3031
5/22/2015,1.1164,135.01,1.9558,?,27.395,7.4567,?,0.7138,306.96,?,?,?,4.1003,?,4.4536,9.2476,?,?,1.0417,?,8.4135,7.539,55.85,?,2.8945,1.4163,3.3931,1.362,6.9194,8.6543,14679.48,70.8589,1218.15,17.005,4.0013,1.5169,49.804,1.4848,37.242,13.1543,4.3097
5/25/2015,1.0978,133.39,1.9558,?,27.372,7.4552,?,0.71,307.71,?,?,?,4.1075,?,4.4539,9.2425,?,?,1.0349,?,8.39,7.5383,54.881,?,2.8665,1.4023,3.425,1.3496,6.8098,8.51,14471.4,69.7761,1204.41,16.7662,3.9668,1.5025,48.958,1.4728,36.882,13.1034,4.269
5/26/2015,1.0926,134.07,1.9558,?,27.407,7.4549,?,0.7096,309.17,?,?,?,4.1391,?,4.4598,9.186,?,?,1.0351,?,8.3685,7.5598,55.0995,?,2.8751,1.402,3.4121,1.352,6.7785,8.4706,14436.2,69.8445,1207.02,16.7097,3.9642,1.4981,48.79,1.4707,36.799,13.1248,4.2423
5/27/2015,1.0863,134.37,1.9558,?,27.404,7.4565,?,0.707,308.8,?,?,?,4.1335,?,4.448,9.2708,?,?,1.0331,?,8.4255,7.5755,56.41,?,2.8848,1.4089,3.4335,1.3531,6.7338,8.4222,14361.48,69.5788,1205.12,16.655,3.9615,1.5031,48.586,1.4691,36.777,13.162,4.2134
5/28/2015,1.0896,135.36,1.9558,?,27.463,7.4598,?,0.7124,308.65,?,?,?,4.1289,?,4.4435,9.2617,?,?,1.0344,?,8.491,7.5817,57.1277,?,2.897,1.4267,3.4373,1.3594,6.7568,8.4484,14380.97,69.541,1208.3,16.7079,3.9797,1.5213,48.56,1.4723,36.909,13.2001,4.2277
5/29/2015,1.097,135.95,1.9558,?,27.401,7.4597,?,0.719,308.9,?,?,?,4.1298,?,4.4425,9.3272,?,?,1.0341,?,8.536,7.572,57.4638,?,2.9188,1.4338,3.4522,1.365,6.7994,8.5052,14512.24,69.9893,1220.31,16.8433,4.0195,1.5405,48.949,1.4799,37.007,13.3409,4.2484
6/1/2015,1.0944,135.79,1.9558,?,27.44,7.4588,?,0.71925,309.11,?,?,?,4.1335,?,4.4425,9.3734,?,?,1.0331,?,8.7065,7.574,58.2567,?,2.9297,1.4341,3.5066,1.3673,6.7807,8.4871,14444.1,69.7123,1217.13,16.8773,4.0368,1.5372,48.697,1.4795,36.881,13.4116,4.2342
6/2/2015,1.1029,137.52,1.9558,?,27.439,7.459,?,0.7243,309.29,?,?,?,4.1288,?,4.4408,9.381,?,?,1.0391,?,8.6755,7.5725,58.564,?,2.9556,1.4342,3.4735,1.3784,6.8358,8.5539,14570.85,70.4047,1228.83,17.0376,4.0769,1.5487,49.29,1.4945,37.255,13.5207,4.2564
6/3/2015,1.1134,138.46,1.9558,?,27.46,7.4597,?,0.7275,311.35,?,?,?,4.1261,?,4.4288,9.389,?,?,1.0427,?,8.7145,7.5555,59.77,?,2.9824,1.4321,3.4937,1.3856,6.9026,8.633,14746.95,71.1522,1233.44,17.2326,4.1079,1.5586,49.872,1.5018,37.506,13.6489,4.2932
6/4/2015,1.1317,140.47,1.9558,?,27.467,7.4599,?,0.7354,312.3,?,?,?,4.1692,?,4.4285,9.3396,?,?,1.0551,?,8.737,7.5605,62.1695,?,3.0377,1.4618,3.5498,1.4089,7.0177,8.7733,15047.75,72.4362,1256.92,17.5812,4.1867,1.5834,50.79,1.5221,38.171,13.9625,4.3416
6/5/2015,1.1218,139.97,1.9557,?,27.396,7.4603,?,0.7317,311.28,?,?,?,4.1441,?,4.4545,9.3417,?,?,1.0478,?,8.8085,7.5589,62.81,?,2.9899,1.4534,3.5189,1.4023,6.9596,8.6979,14912.5,71.5602,1249.74,17.4451,4.1766,1.5713,50.501,1.5122,37.829,13.9126,4.3118
6/8/2015,1.1162,139.84,1.9558,?,27.431,7.4602,?,0.7318,313.95,?,?,?,4.1551,?,4.465,9.3678,?,?,1.047,?,8.827,7.553,62.3147,?,3.0865,1.4615,3.5023,1.3879,6.9278,8.6536,14900.68,71.536,1252.08,17.4998,4.2075,1.5776,50.465,1.5165,37.694,14.0463,4.3139
6/9/2015,1.1249,139.56,1.9558,?,27.356,7.4603,?,0.7354,312.28,?,?,?,4.1657,?,4.4708,9.3535,?,?,1.0465,?,8.778,7.5535,62.8285,?,3.0758,1.4606,3.4925,1.3889,6.981,8.7211,14997.17,71.9645,1258.68,17.5448,4.2212,1.5715,50.757,1.5196,37.941,13.9876,4.3119
6/10/2015,1.1279,138.69,1.9558,?,27.318,7.4615,?,0.7284,312.27,?,?,?,4.15,?,4.467,9.3616,?,?,1.0486,?,8.699,7.541,61.4818,?,3.0936,1.4571,3.4761,1.3801,7.0008,8.7446,14984.62,72.0444,1255,17.4289,4.2169,1.5689,50.756,1.5168,37.944,13.9499,4.3188
6/11/2015,1.1232,138.95,1.9558,?,27.318,7.4614,?,0.7266,312.21,?,?,?,4.1405,?,4.4668,9.2558,?,?,1.0523,?,8.786,7.566,61.3375,?,3.0749,1.4533,3.5479,1.3839,6.9707,8.7078,14946.03,71.8644,1252.23,17.4152,4.2062,1.6042,50.879,1.5135,37.911,13.9601,4.3073
6/12/2015,1.122,138.78,1.9558,?,27.3,7.4613,?,0.7245,312.13,?,?,?,4.1497,?,4.4738,9.204,?,?,1.0469,?,8.695,7.565,61.81,?,3.048,1.456,3.472,1.3804,6.9655,8.699,14951.03,71.8973,1251.48,17.3125,4.2106,1.6083,50.776,1.5126,37.82,13.9279,4.3175
6/15/2015,1.1218,138.54,1.9558,?,27.279,7.4598,?,0.7234,313.3,?,?,?,4.1573,?,4.488,9.178,?,?,1.0512,?,8.712,7.5755,61.506,?,3.0738,1.4466,3.5134,1.3845,6.9653,8.6972,14953.21,71.9831,1253.5,17.3273,4.2185,1.6053,50.735,1.5107,37.818,13.9372,4.3107
6/16/2015,1.1215,138.42,1.9558,?,27.254,7.4573,?,0.7182,311.88,?,?,?,4.1448,?,4.4853,9.1944,?,?,1.0465,?,8.723,7.576,60.889,?,3.0707,1.4482,3.515,1.3843,6.9651,8.6949,14965.3,72.1229,1256.05,17.3283,4.2107,1.6058,50.707,1.5098,37.789,13.9607,4.3056
6/17/2015,1.1279,139.78,1.9558,?,27.24,7.4575,?,0.717,311.84,?,?,?,4.1576,?,4.486,9.2185,?,?,1.0451,?,8.7245,7.582,61.0345,?,3.086,1.4694,3.4952,1.3887,7.001,8.7445,15051.87,72.3435,1263.34,17.3843,4.2356,1.6284,50.962,1.5189,38.015,14.0226,4.334
6/18/2015,1.1404,139.94,1.9558,?,27.275,7.4605,?,0.7167,311.14,?,?,?,4.1667,?,4.486,9.216,?,?,1.0461,?,8.831,7.5753,61.0685,?,3.096,1.457,3.4778,1.3867,7.0786,8.8415,15177.38,72.6805,1258.22,17.3278,4.2231,1.6399,51.181,1.5186,38.348,13.8857,4.3503
6/19/2015,1.1299,139.19,1.9558,?,27.211,7.4611,?,0.7134,312.85,?,?,?,4.1729,?,4.4875,9.2177,?,?,1.0449,?,8.8255,7.5765,61.4023,?,3.0645,1.4591,3.4665,1.3865,7.016,8.7585,15050.27,71.8193,1249.77,17.3146,4.2298,1.6393,50.887,1.511,38.066,13.8608,4.3247
6/22/2015,1.1345,139.8,1.9558,?,27.206,7.4615,?,0.7169,310.83,?,?,?,4.1625,?,4.4836,9.2253,?,?,1.0435,?,8.742,7.5715,61.168,?,3.0408,1.4616,3.5089,1.3879,7.0446,8.7944,15080.9,72.07,1249.02,17.3868,4.2345,1.6484,51.027,1.5141,38.178,13.791,4.3535
6/23/2015,1.1204,138.72,1.9558,?,27.189,7.4625,?,0.7101,310.24,?,?,?,4.1697,?,4.4805,9.2071,?,?,1.0449,?,8.7255,7.578,60.9175,?,3.001,1.4538,3.4655,1.3825,6.9539,8.6859,14878.91,71.2742,1238.95,17.2284,4.1925,1.6381,50.536,1.5006,37.819,13.6514,4.2341
6/24/2015,1.1213,138.93,1.9558,?,27.206,7.4619,?,0.7118,311.11,?,?,?,4.1671,?,4.4675,9.2118,?,?,1.0449,?,8.769,7.588,60.9332,?,2.9962,1.4473,3.4442,1.3793,6.9619,8.6927,14917.43,71.3016,1244.32,17.249,4.2182,1.6297,50.514,1.5061,37.875,13.5958,4.2182
6/25/2015,1.1206,138.52,1.9558,?,27.235,7.4598,?,0.7126,311.78,?,?,?,4.1727,?,4.4555,9.2276,?,?,1.0507,?,8.7595,7.5887,61.2318,?,2.9845,1.4477,3.4689,1.3878,6.958,8.6866,14918.16,71.25,1245.32,17.3559,4.2107,1.6211,50.549,1.5032,37.83,13.5625,4.2249
6/26/2015,1.1202,138.58,1.9558,?,27.23,7.4608,?,0.7123,312.66,?,?,?,4.1757,?,4.4575,9.2641,?,?,1.0447,?,8.773,7.5875,61.807,?,2.9848,1.4631,3.5157,1.3851,6.9553,8.6842,14925.51,71.2458,1258.49,17.4219,4.2416,1.6347,50.51,1.51,37.868,13.6412,4.2511
6/29/2015,1.1133,136.81,1.9558,?,27.246,7.4604,?,0.7085,314.38,?,?,?,4.1893,?,4.4888,9.2447,?,?,1.0376,?,8.8065,7.5887,61.6025,?,2.9905,1.4526,3.4959,1.3776,6.9121,8.6306,14868.34,71.0695,1249.68,17.3959,4.207,1.6268,50.301,1.5016,37.635,13.6434,4.225
6/30/2015,1.1189,137.01,1.9558,?,27.253,7.4604,?,0.7114,314.93,?,?,?,4.1911,?,4.4725,9.215,?,?,1.0413,?,8.791,7.5948,62.355,?,2.9953,1.455,3.4699,1.3839,6.9366,8.674,14938.43,71.1873,1251.27,17.5332,4.2185,1.6548,50.474,1.5068,37.796,13.6416,4.2211
7/1/2015,1.11,136.63,1.9558,?,27.246,7.4607,?,0.70905,314.33,?,?,?,4.1901,?,4.476,9.246,?,?,1.0457,?,8.7435,7.5885,61.5175,?,2.9748,1.4458,3.4451,1.3902,6.8838,8.6053,14810.69,70.6016,1246.87,17.4492,4.1756,1.6415,50.222,1.4982,37.537,13.5328,4.1963
7/2/2015,1.1066,136.82,1.9558,?,27.265,7.4604,?,0.7103,314.85,?,?,?,4.1927,?,4.4766,9.348,?,?,1.0507,?,8.795,7.5975,61.6618,?,2.9925,1.4573,3.485,1.3963,6.8659,8.5778,14752.2,70.2829,1245.07,17.5086,4.1777,1.6597,49.987,1.4963,37.42,13.6706,4.19
7/3/2015,1.1096,136.38,1.9558,?,27.145,7.4607,?,0.7102,315.48,?,?,?,4.1955,?,4.4832,9.3726,?,?,1.0466,?,8.85,7.597,61.8765,?,2.9873,1.4747,3.4584,1.3961,6.8856,8.6021,14792.54,70.3917,1246.81,17.424,4.1937,1.6581,49.988,1.4953,37.482,13.6359,4.1756
7/6/2015,1.1008,135.11,1.9558,?,27.135,7.461,?,0.708,316.13,?,?,?,4.2005,?,4.4863,9.3699,?,?,1.0422,?,8.9095,7.575,62.134,?,2.9622,1.4688,3.4659,1.3914,6.8337,8.5338,14700.08,69.8398,1241.95,17.4537,4.2018,1.644,49.651,1.4876,37.257,13.6731,4.1622
7/7/2015,1.0931,133.88,1.9558,?,27.1,7.4614,?,0.7077,316.18,?,?,?,4.1949,?,4.4813,9.3288,?,?,1.0383,?,8.983,7.573,62.9407,?,2.9327,1.4722,3.4547,1.3925,6.7909,8.4771,14576.82,69.395,1238.42,17.3038,4.1727,1.6487,49.489,1.4841,37.119,13.6408,4.1374
7/8/2015,1.1024,133.88,1.9558,?,27.116,7.4621,?,0.7173,317.87,?,?,?,4.2237,?,4.4867,9.3927,?,?,1.0463,?,9.07,7.5725,62.9475,?,2.9592,1.4866,3.5334,1.4048,6.8449,8.5472,14725.56,70.1086,1249.49,17.4455,4.1979,1.6484,49.818,1.4917,37.5,13.7974,4.186
7/9/2015,1.1054,134.3,1.9558,?,27.11,7.4622,?,0.7176,315,?,?,?,4.2132,?,4.4773,9.3627,?,?,1.0504,?,9.0185,7.5668,62.8445,?,2.9526,1.4816,3.5677,1.4022,6.8632,8.5693,14728.14,70.0713,1249.29,17.4211,4.1952,1.6399,49.924,1.4931,37.5,13.7689,4.1863
7/10/2015,1.1185,136.88,1.9558,?,27.123,7.4627,?,0.7208,311.01,?,?,?,4.1756,?,4.4446,9.4101,?,?,1.0464,?,8.9005,7.578,63.039,?,2.9796,1.4975,3.5626,1.4212,6.9452,8.6697,14861.47,70.9129,1260.38,17.5694,4.2436,1.657,50.448,1.5075,37.951,13.8826,4.2125
7/13/2015,1.1049,136.3,1.9558,?,27.102,7.4624,?,0.7115,310.9,?,?,?,4.1469,?,4.4289,9.3884,?,?,1.0478,?,8.9035,7.575,62.692,?,2.9391,1.4874,3.5091,1.4055,6.8597,8.5653,14694.28,70.2075,1252.35,17.4077,4.2059,1.647,49.874,1.4955,37.599,13.7985,4.1794
7/14/2015,1.1031,136.02,1.9558,?,27.08,7.4625,?,0.7084,310.9,?,?,?,4.15,?,4.4235,9.408,?,?,1.0422,?,8.9925,7.5767,62.5347,?,2.9086,1.4828,3.4515,1.4076,6.8478,8.55,14706.09,69.8704,1259.33,17.3076,4.1912,1.6468,49.886,1.5002,37.536,13.6795,4.1558
7/15/2015,1.1009,135.95,1.9558,?,27.078,7.4629,?,0.7045,310.77,?,?,?,4.129,?,4.4238,9.357,?,?,1.0439,?,8.9405,7.578,62.415,?,2.9112,1.4753,3.4606,1.403,6.8357,8.533,14681.95,69.8218,1258.96,17.2346,4.1867,1.6445,49.818,1.4999,37.514,13.5986,4.1438
7/16/2015,1.0867,134.9,1.9558,?,27.116,7.4617,?,0.6981,309.15,?,?,?,4.1084,?,4.4274,9.2787,?,?,1.0407,?,8.858,7.5915,61.9145,?,2.884,1.4713,3.4219,1.407,6.7496,8.4229,14548.21,69.0173,1248.24,17.1981,4.1311,1.6674,49.165,1.4854,37.187,13.4938,4.1202
7/17/2015,1.0889,135.01,1.9558,?,27.054,7.4621,?,0.6983,308.84,?,?,?,4.1053,?,4.419,9.3435,?,?,1.0431,?,8.8805,7.6,61.917,?,2.8862,1.4712,3.4455,1.4132,6.7615,8.4394,14529.02,69.1166,1249.02,17.2141,4.1343,1.6619,49.212,1.487,37.189,13.4191,4.1358
7/20/2015,1.0852,134.83,1.9558,?,27.072,7.4615,?,0.6971,309.26,?,?,?,4.1173,?,4.4149,9.3443,?,?,1.0443,?,8.8955,7.597,61.8838,?,2.9189,1.4703,3.4666,1.4091,6.7378,8.4117,14561.06,69.0785,1254.49,17.2628,4.1349,1.6486,49.18,1.4895,37.363,13.4684,4.1532
7/21/2015,1.0867,135.17,1.9558,?,27.072,7.4618,?,0.6987,309,?,?,?,4.1138,?,4.4175,9.3683,?,?,1.044,?,8.9165,7.592,61.9215,?,2.9222,1.4746,3.468,1.4118,6.7479,8.4229,14535.28,69.125,1252.96,17.3622,4.1309,1.646,49.119,1.4841,37.469,13.4696,4.1392
7/22/2015,1.0902,134.98,1.9558,?,27.068,7.4616,?,0.6982,308.33,?,?,?,4.1208,?,4.4198,9.3836,?,?,1.0482,?,8.899,7.588,62.3115,?,2.966,1.4765,3.4816,1.4167,6.7695,8.4498,14621.13,69.3814,1257.5,17.5173,4.1359,1.6562,49.26,1.4889,37.795,13.4922,4.161
7/23/2015,1.0999,136.15,1.9558,?,27.039,7.4614,?,0.7044,309.6,?,?,?,4.1229,?,4.4235,9.4322,?,?,1.0517,?,8.963,7.583,63.174,?,2.9975,1.4844,3.5932,1.4271,6.8299,8.5255,14758.12,70.1379,1274.7,17.6836,4.1846,1.6477,49.873,1.5029,38.215,13.6702,4.2047
7/24/2015,1.0939,135.7,1.9558,?,27.042,7.4615,?,0.7069,311.19,?,?,?,4.1286,?,4.4211,9.4263,?,?,1.0512,?,8.9955,7.583,63.919,?,3.0085,1.5058,3.6466,1.432,6.7918,8.4793,14742.32,70.1404,1284.37,17.8076,4.1844,1.667,49.839,1.5039,38.233,13.8192,4.1926
7/27/2015,1.1058,136.23,1.9558,?,27.029,7.4615,?,0.7127,310.02,?,?,?,4.1285,?,4.418,9.453,?,?,1.0595,?,9.042,7.5965,65.8165,?,3.0679,1.5184,3.7354,1.4409,6.8668,8.5708,14924.55,70.9592,1293.39,18.0555,4.2242,1.6741,50.356,1.5152,38.585,14.0287,4.2071
7/28/2015,1.1025,136.46,1.9558,?,27.023,7.4615,?,0.7074,309.88,?,?,?,4.1216,?,4.4149,9.4537,?,?,1.0659,?,9.0215,7.591,66.377,?,3.0315,1.5089,3.6916,1.4348,6.8459,8.5457,14823.65,70.4663,1283.83,17.8941,4.206,1.6545,50.163,1.5073,38.477,13.8491,4.1649
7/29/2015,1.103,136.5,1.9558,?,27.066,7.4614,?,0.7053,309.29,?,?,?,4.1392,?,4.4223,9.4766,?,?,1.0622,?,8.9975,7.598,65.694,?,3.0434,1.5101,3.7163,1.4289,6.8486,8.5494,14850.85,70.4872,1277.13,17.9695,4.2028,1.6531,50.196,1.5075,38.552,13.8317,4.1708
7/30/2015,1.0955,136.25,1.9558,?,27.053,7.4609,?,0.701,308.93,?,?,?,4.1426,?,4.4083,9.4714,?,?,1.0633,?,8.943,7.5955,65.3858,?,3.0472,1.5065,3.6735,1.422,6.8027,8.492,14778.97,70.1571,1285.21,17.9459,4.1837,1.6577,50.1,1.5053,38.436,13.8962,4.142
7/31/2015,1.0967,136.34,1.9558,?,27.031,7.4615,?,0.7041,308.3,?,?,?,4.1435,?,4.4048,9.4622,?,?,1.0565,?,9.0015,7.592,66.8596,?,3.0485,1.514,3.6974,1.431,6.8102,8.5032,14866.29,70.3382,1287.41,17.7473,4.2015,1.6769,50.146,1.5082,38.571,13.921,4.144
8/3/2015,1.0951,136.07,1.9558,?,27.041,7.4615,?,0.7028,307.89,?,?,?,4.1498,?,4.405,9.4865,?,?,1.0598,?,9.0005,7.5905,68.5891,?,3.043,1.5071,3.7824,1.4404,6.8002,8.4903,14790.19,70.1343,1281.97,17.6897,4.2181,1.6618,50.078,1.5087,38.419,13.9277,4.1316
8/4/2015,1.0973,136.07,1.9558,?,27.055,7.4616,?,0.70275,308.1,?,?,?,4.1498,?,4.4095,9.445,?,?,1.064,?,9.0015,7.583,68.883,?,3.043,1.4831,3.7718,1.4408,6.8143,8.5084,14790.33,69.9556,1274.78,17.6781,4.2271,1.663,50.074,1.5104,38.448,13.8875,4.1612
8/5/2015,1.0883,135.23,1.9558,?,27.037,7.4617,?,0.6963,309.3,?,?,?,4.1697,?,4.4145,9.4776,?,?,1.0658,?,8.9955,7.58,68.584,?,3.0247,1.4755,3.7721,1.4334,6.758,8.4386,14707.43,69.3846,1273.24,17.7295,4.2202,1.6641,49.758,1.5057,38.346,13.8983,4.1425
8/6/2015,1.0885,135.94,1.9558,?,27.029,7.4614,?,0.7014,310.45,?,?,?,4.1846,?,4.4125,9.5365,?,?,1.0713,?,9.026,7.566,69.853,?,3.0316,1.4849,3.8273,1.4333,6.7593,8.4401,14724.55,69.4082,1270.42,17.8345,4.2588,1.6665,49.83,1.508,38.283,13.8905,4.1451
8/7/2015,1.0941,136.43,1.9558,?,27.024,7.462,?,0.7051,310.35,?,?,?,4.1853,?,4.4115,9.5744,?,?,1.0738,?,9.041,7.5515,70.2133,?,3.0512,1.4809,3.8579,1.4313,6.794,8.4811,14809.32,69.82,1272.46,17.818,4.296,1.6647,50.04,1.5136,38.46,13.8948,4.1737
8/10/2015,1.096,136.67,1.9558,?,27.034,7.4619,?,0.7071,311.27,?,?,?,4.1968,?,4.4118,9.5958,?,?,1.08,?,9.026,7.531,70.41,?,3.0591,1.4884,3.8559,1.4392,6.8058,8.4968,14823.56,70.0028,1275.09,17.7623,4.3144,1.6668,50.213,1.5191,38.513,13.9475,4.1754
8/11/2015,1.1055,137.99,1.9558,?,27.026,7.4623,?,0.7088,312.25,?,?,?,4.1973,?,4.4151,9.5853,?,?,1.0859,?,9.0835,7.5415,70.8091,?,3.0596,1.5092,3.8366,1.4454,6.9923,8.5743,15073.49,70.9786,1304.4,17.9843,4.3927,1.6866,50.925,1.5465,39.013,14.063,4.221
8/12/2015,1.1155,138.45,1.9558,?,27.021,7.4624,?,0.7149,311.21,?,?,?,4.1889,?,4.4132,9.5815,?,?,1.0864,?,9.076,7.5645,72.1582,?,3.0965,1.5128,3.8597,1.4467,7.1234,8.65,15334.84,72.194,1310.33,18.0895,4.5061,1.6847,51.495,1.5652,39.321,14.2173,4.2518
8/13/2015,1.1109,138.23,1.9558,?,27.024,7.4631,?,0.7106,310.67,?,?,?,4.1882,?,4.41,9.452,?,?,1.0849,?,9.0745,7.5475,71.429,?,3.0993,1.5121,3.8793,1.4455,7.1078,8.612,15368.89,72.463,1309.14,18.0982,4.4555,1.6895,51.312,1.5539,39.19,14.2205,4.2264
8/14/2015,1.1171,138.7,1.9558,?,27.028,7.4633,?,0.7145,310.69,?,?,?,4.1862,?,4.4257,9.4308,?,?,1.0875,?,9.1375,7.5435,72.4516,?,3.1652,1.5122,3.91,1.4571,7.1396,8.664,15387.8,72.6199,1314.78,18.326,4.5583,1.7033,51.557,1.5667,39.322,14.2927,4.2187
8/17/2015,1.11,138.22,1.9558,?,27.021,7.4633,?,0.7105,310.01,?,?,?,4.1708,?,4.43,9.445,?,?,1.0841,?,9.1585,7.5566,72.6325,?,3.1725,1.5096,3.8851,1.4581,7.0983,8.6077,15393.34,72.4997,1316.04,18.29,4.553,1.6927,51.403,1.5644,39.264,14.334,4.227
8/18/2015,1.106,137.44,1.9558,?,27.021,7.4633,?,0.7042,309.01,?,?,?,4.1626,?,4.4211,9.4282,?,?,1.0798,?,9.1555,7.5585,72.681,?,3.1954,1.5065,3.8564,1.4494,7.072,8.5764,15277.87,72.2384,1307.94,18.186,4.524,1.68,51.161,1.5514,39.308,14.2847,4.248
8/19/2015,1.1041,137.31,1.9558,?,27.022,7.4633,?,0.7049,309.82,?,?,?,4.1731,?,4.4331,9.4604,?,?,1.0755,?,9.168,7.55,72.558,?,3.2243,1.5026,3.8404,1.4431,7.0614,8.5594,15283.36,72.0687,1308.79,18.1282,4.529,1.6789,51.138,1.5505,39.3,14.2438,4.2825
8/20/2015,1.1183,138.5,1.9558,?,27.023,7.4627,?,0.7138,312.38,?,?,?,4.1904,?,4.4357,9.5014,?,?,1.0772,?,9.2325,7.5493,75.3275,?,3.3105,1.5287,3.919,1.4679,7.1449,8.6695,15554.86,73.3046,1332.53,18.7203,4.592,1.6898,52.143,1.5702,39.854,14.4775,4.3449
